ab	abhază
aa	afar
af	afrikaans
ak	akan
sq	albaneză
am	amharică
ar	arabă
an	aragoneză
hy	armeană
as	asameză
av	avară
ae	avestană
ay	aymara
az	azeră
bm	bambara
eu	bască
ba	bașkiră
bn	bengaleză
be	bielorusă
my	birmaneză
bi	bislama
bs	bosniacă
br	bretonă
bg	bulgară
ks	cașmiră
ca	catalană
ce	cecenă
cs	cehă
ch	chamorro
zh	chineză
cv	ciuvașă
kg	congoleză
ko	coreeană
kw	cornică
co	corsicană
cr	cree
hr	croată
da	daneză
dv	divehi
dz	dzongkha
he	ebraică
en	engleză
en-US	engleză (S.U.A)
en-GB	engleză britanică
eo	esperanto
et	estoniană
ee	ewe
fo	faroeză
fj	fijiană
fi	finlandeză
fr	franceză
fy	frizonă occidentală
ff	fulah
gd	gaelică scoțiană
cy	galeză
gl	galiciană
lg	ganda
ka	georgiană
de	germană
el	greacă
gn	guarani
gu	gujarati
ht	haitiană
ha	hausa
hz	herero
hi	hindi
ho	hiri motu
yi	idiș
io	ido
ig	igbo
id	indoneziană
ia	interlingua
ie	interlingue
iu	inuktitut
ik	inupiak
ga	irlandeză
is	islandeză
it	italiană
ja	japoneză
jv	javaneză
kl	kalaallisut
kn	kannada
kr	kanuri
kk	kazahă
ky	kârgâză
km	khmeră
ki	kikuyu
rw	kinyarwanda
rn	kirundi
kv	komi
kj	kuanyama
ku	kurdă
lo	laoțiană
la	latină
lv	letonă
li	limburgheză
ln	lingala
lt	lituaniană
lu	luba-katanga
lb	luxemburgheză
mk	macedoneană
hu	maghiară
ms	malaeză
ml	malayalam
mg	malgașă
mt	malteză
gv	manx
mi	maori
mr	marathi
mh	marshalleză
mn	mongolă
na	nauru
nv	navajo
nd	ndebele de nord
nr	ndebele de sud
ng	ndonga
nl	neerlandeză
ne	nepaleză
no	norvegiană
nb	norvegiană bokmål
nn	norvegiană nynorsk
ny	nyanja
oc	occitană
oj	ojibwa
or	oriya
om	oromo
os	osetă
pi	pali
ps	paștună
fa	persană
pl	poloneză
pt	portugheză
pa	punjabi
qu	quechua
rm	romanșă
ro	română
ru	rusă
se	sami de nord
sm	samoană
sg	sango
sa	sanscrită
sc	sardiniană
sr	sârbă
sh	sârbo-croată
st	sesotho
tn	setswana
sn	shona
ii	sichuan yi
sd	sindhi
si	singhaleză
cu	slavonă
sk	slovacă
sl	slovenă
so	somaleză
es	spaniolă
sv	suedeză
su	sundaneză
sw	swahili
ss	swati
tg	tadjică
tl	tagalog
ty	tahitiană
ta	tamilă
tt	tătară
te	telugu
th	thailandeză
bo	tibetană
ti	tigrină
to	tonga
ts	tsonga
tr	turcă
tk	turkmenă
tw	twi
uk	ucraineană
ug	uigură
ur	urdu
uz	uzbecă
wa	valonă
ve	venda
vi	vietnameză
vo	volapuk
wo	wolof
xh	xhosa
yo	yoruba
za	zhuang
zu	zulu
