aa	aa
ab	ab
ae	ae
ak	ak
an	an
av	av
ay	ay
az	az
ba	ba
bi	bi
bm	bm
bo	bo
ce	ce
ch	ch
co	co
cr	cr
cu	cu
cv	cv
dv	dv
dz	dz
ee	ee
ff	ff
fj	fj
gv	gv
ha	ha
ho	ho
ht	ht
hz	hz
sq	Icyalubaniya
ar	Icyarabu
as	Icyasamizi
es	Icyesipanyolo
eo	Icyesiperanto
et	Icyesitoniya
en	Icyongereza
en-GB	Icyongereza (GB)
en-US	Icyongereza (US)
ig	ig
cs	Igiceke
fr	Igifaransa
fi	Igifinilande
fy	Igifiriziyani
he	Igiheburayo
hi	Igihindi
hu	Igihongiriya
km	Igikambodiya
kn	Igikanada
ca	Igikatalani
ko	Igikoreya
hr	Igikorowasiya
pl	Igipolone
pt	Igiporutugali
pa	Igipunjabi
sa	Igisansikiri
sr	Igiseribe
is	Igisilande
sk	Igisilovaki
sd	Igisindi
so	Igisomali
sv	Igisuweduwa
sw	Igiswahili
it	Igitaliyani
ta	Igitamili
th	Igitayi
te	Igitelugu
tr	Igiturukiya
ii	ii
ik	ik
eu	Ikibasiki
be	Ikibelarusiya
bn	Ikibengali
de	Ikidage
da	Ikidaninwa
gl	Ikigalisiya
cy	Ikigaluwa
gd	Ikigaluwa cy’Igisweduwa
el	Ikigereki
la	Ikilatini
lo	Ikilawotiyani
lt	Ikilituwaniya
ml	Ikimalayalami
ms	Ikimalayi
mt	Ikimaliteze
mr	Ikimarati
mk	Ikimasedoniyani
mn	Ikimongoli
ne	Ikinepali
nl	Ikinerilande
no	Ikinoruveji
af	Ikinyafurikaneri
lv	Ikinyaletoviyani
ro	Ikinyarumaniya
hy	Ikinyarumeniya
sl	Ikinyasiloveniya
vi	Ikinyaviyetinamu
uk	Ikinyayukereni
id	Ikinyendoziya
ga	Ikirilandi
ru	Ikirusiya
ug	Ikiwiguri
ja	Ikiyapani
ln	Ilingala
ps	Impashito
ky	Inkerigizi
gn	Inyaguwarani
am	Inyamuhariki
ti	Inyatigirinya
br	Inyebiritoni
bs	Inyebosiniya
fo	Inyefaroyizi
gu	Inyegujarati
xh	Inyehawusa
jv	Inyejava
ka	Inyejeworujiya
ku	Inyekuridishi
nn	Inyenoruveji (Nyonorusiki)
fa	Inyeperisi
sh	Inyeseribiya na Korowasiya
st	Inyesesoto
si	Inyesimpaleze
su	Inyesudani
tk	Inyeturukimeni
tw	Inyetuwi
yi	Inyeyidishi
ur	Inyeyurudu
uz	Inyeyuzubeki
zu	Inyezulu
oc	Inyogusitani
or	Inyoriya
io	io
iu	iu
kg	kg
ki	ki
rw	Kinyarwanda
kj	kj
kk	kk
kl	kl
kr	kr
ks	ks
kv	kv
kw	kw
lb	lb
lg	lg
li	li
lu	lu
mg	mg
mh	mh
mi	mi
my	my
na	na
nb	nb
nd	nd
ng	ng
nr	nr
nv	nv
ny	ny
oj	oj
om	om
os	os
pi	pi
qu	qu
rm	rm
rn	rn
sc	sc
se	se
sg	sg
sm	sm
sn	sn
ss	ss
tg	tg
tl	tl
tn	tn
to	to
ts	ts
tt	tt
ty	ty
ie	Uruhuzandimi
bg	Urunyabuligariya
ia	Ururimi Gahuzamiryango
ve	ve
vo	vo
wa	wa
wo	wo
yo	yo
za	za
zh	zh
