aa	aa
ab	ab
ae	ae
af	af
ak	akan
de	alemão
am	amárico
an	an
ar	árabe
as	as
av	av
ay	ay
az	az
ba	ba
bn	bengali
bi	bi
be	bielo-russo
my	birmanês
bm	bm
bo	bo
br	br
bs	bs
bg	búlgaro
ca	ca
ce	ce
ch	ch
zh	chinês
km	cmer
co	co
ko	coreano
cr	cr
cu	cu
cv	cv
cy	cy
da	da
dv	dv
dz	dz
ee	ee
eo	eo
es	espanhol
et	et
eu	eu
ff	ff
fi	fi
fj	fj
fo	fo
fr	francês
fy	fy
ga	ga
gd	gd
gl	gl
gn	gn
el	grego
gu	gu
gv	gv
ha	hausa
he	he
hi	hindi
ho	ho
nl	holandês
hr	hr
ht	ht
hu	húngaro
hy	hy
hz	hz
ia	ia
ig	ibo
ie	ie
ii	ii
ik	ik
id	indonésio
en	inglês
en-GB	inglês (GB)
en-US	inglês (US)
io	io
yo	iorubá
is	is
it	italiano
iu	iu
ja	japonês
jv	javanês
ka	ka
kg	kg
ki	ki
rw	kinyarwanda
kj	kj
kk	kk
kl	kl
kn	kn
kr	kr
ks	ks
ku	ku
kv	kv
kw	kw
ky	ky
la	la
lb	lb
lg	lg
li	li
ln	ln
lo	lo
lt	lt
lu	lu
lv	lv
ms	malaio
mg	mg
mh	mh
mi	mi
mk	mk
ml	ml
mn	mn
mr	mr
mt	mt
na	na
nb	nb
nd	nd
ne	nepalês
ng	ng
nn	nn
no	no
nr	nr
nv	nv
ny	ny
oc	oc
oj	oj
om	om
or	or
os	os
pa	panjabi
fa	persa
pi	pi
pl	polonês
pt	português
ps	ps
qu	qu
rm	rm
rn	rn
ro	romeno
ru	russo
sa	sa
sc	sc
sd	sd
se	se
sg	sg
sh	sh
si	si
sk	sk
sl	sl
sm	sm
sn	sn
so	somali
sq	sq
sr	sr
ss	ss
st	st
su	su
sv	sueco
sw	sw
th	tailandês
ta	tâmil
cs	tcheco
te	te
tg	tg
ti	ti
tk	tk
tl	tl
tn	tn
to	to
ts	ts
tt	tt
tr	turco
tw	tw
ty	ty
uk	ucraniano
ug	ug
ur	urdu
uz	uz
ve	ve
vi	vietnamita
vo	vo
wa	wa
wo	wo
xh	xh
yi	yi
za	za
zu	zulu
