aa	aa
ab	ab
ae	ae
af	af
ak	Akâan
am	Amarîki
an	an
en	Anglëe
en-GB	Anglëe (GB)
en-US	Anglëe (US)
ar	Arâbo
as	as
av	av
ay	ay
az	az
ba	ba
bn	Bengäli
bi	bi
be	Bielörûsi
bm	bm
bo	bo
br	br
bs	bs
bg	Bulugäri
ca	ca
ce	ce
ch	ch
co	co
cr	cr
cu	cu
cv	cv
cy	cy
da	da
dv	dv
dz	dz
ee	ee
it	Ênnde
id	Enndonezïi
eo	eo
es	Espanyöl
et	et
eu	eu
fr	Farânzi
fa	Farsî
ff	ff
fi	fi
fj	fj
fo	fo
fy	fy
ga	ga
gd	gd
el	Gerêki
gl	gl
gn	gn
gu	gu
gv	gv
ha	Haüsä
he	he
hi	Hîndi
ho	ho
nl	Holandëe
hu	Hongruäa
hr	hr
ht	ht
hy	hy
hz	hz
ia	ia
ie	ie
ig	Ïgbö
ii	ii
ik	ik
io	io
is	is
iu	iu
ka	ka
kg	kg
ki	ki
kj	kj
kk	kk
kl	kl
km	Kmêre
kn	kn
ko	Koreyëen
kr	kr
ks	ks
ku	ku
kv	kv
kw	kw
ky	ky
la	la
lb	lb
lg	lg
li	li
ln	ln
lo	lo
lt	lt
lu	lu
lv	lv
ms	Malëe
mg	mg
mh	mh
mi	mi
my	Miamära, Birimäni
mk	mk
ml	ml
mn	mn
mr	mr
mt	mt
na	na
nb	nb
nd	nd
ne	Nepalëe
ng	ng
nn	nn
no	no
nr	nr
nv	nv
ny	ny
oc	oc
oj	oj
om	om
or	or
os	os
pa	Penzäbï
pi	pi
pl	Polonëe
pt	Portugëe, Pûra
ps	ps
qu	qu
rm	rm
rn	rn
rw	Ruandäa
ro	Rumëen
ru	Rûsi
sa	sa
sg	Sängö
sc	sc
sd	sd
se	se
sh	sh
zh	Shinuäa
si	si
sk	sk
sl	sl
sm	sm
sn	sn
so	Somalïi
sq	sq
sr	sr
ss	ss
st	st
su	su
sv	Sueduäa
sw	sw
ta	Tämûli
te	te
tg	tg
th	Thâi
ti	ti
tk	tk
tl	tl
tn	tn
to	to
ts	ts
tt	tt
tr	Tûrûku
tw	tw
ty	ty
cs	Tyêki
ug	ug
uk	Ukrêni
ur	Ûrdu
uz	uz
ve	ve
vi	Vietnäm
vo	vo
wa	wa
wo	wo
xh	xh
yi	yi
yo	Yoruba
za	za
de	Zâmani
ja	Zaponëe
jv	Zavanëe
zu	Zûlu
