aa	aa
ae	ae
an	an
av	av
ay	ay
bi	bi
ch	ch
cr	cr
cu	cu
ff	ff
gd	gd
ho	ho
hz	hz
ia	ia
ie	ie
ik	ik
io	io
kg	kg
kj	kj
kr	kr
kv	kv
li	li
mh	mh
na	na
ng	ng
no	no
nr	nr
nv	nv
ny	ny
oc	oc
oj	oj
os	os
pi	pi
sc	sc
sh	sh
sm	sm
ss	ss
st	st
tl	tl
tn	tn
ts	ts
tw	tw
ty	ty
ve	ve
vo	vo
wa	wa
yi	yi
za	za
ak	අකාන්
af	අප්‍රිකානු
ga	අයර්ලන්ත
is	අයිස්ලන්ත
ar	අරාබි
az	අසීරී
hy	ආර්මේනියානු
ab	ඇබ්කාසියානු
am	ඇම්හාරික්
sq	ඇල්බේනියානු
as	ඇසමියානු
ig	ඉග්බෝ
en	ඉංග්‍රීසි
it	ඉතාලි
iu	ඉනුක්ටිටුට්
id	ඉන්දුනීසියානු
ee	ඉව්
nd	උතුරු එන්ඩිබෙලෙ
se	උතුරු සාමි
ug	උයිගර්
ur	උර්දු
uz	උස්බෙක්
en-US	එ.ජ ඉංග්‍රීසි
en-GB	එ.රා ඉංග්‍රීසි
et	එස්තෝනියානු
eo	එස්පැරන්ටෝ
or	ඔරියා
om	ඔරොමෝ
kn	කණ්ණඩ
km	කමර්
kl	කලාලිසට්
kk	කසාඛ්
ks	කාෂ්මීර්
ca	කැටලන්
ki	කිකුයු
rw	කින්යර්වන්ඩා
ky	කිර්ගිස්
ku	කුර්දි
ko	කොරියානු
kw	කෝනීසියානු
co	ක්‍රොඑශියානු
hr	ක්‍රෝයේශියානු
qu	ක්වීචුවා
lg	ගන්ඩා
gl	ගැලීසියානු
gu	ගුජරාටි
gn	ගුවාරනි
el	ග්‍රීක
cv	චවේෂ්
zh	චීන
ce	චෙච්නියානු
cs	චෙත්
pa	ජන්ජාබි
ja	ජපන්
de	ජර්මන්
jv	ජාවා
ka	ජෝර්ජියානු
tg	ටජික්
tk	ටර්ක්මෙන්
tt	ටාටර්
ti	ටිග්‍රින්යා
bo	ටිබෙට්
to	ටොංගා
da	ඩැනිශ්
dz	ඩිසොන්කා
th	තායි
tr	තුර්කි
te	තෙළිඟු
dv	දිවෙහි
ta	දෙමළ
ne	නේපාල
nn	නොවේර්ජියානු නයිනෝර්ස්ක්
nb	නෝවේජියානු බොක්මාල්
fa	පර්සියානු
ps	පෂ්ටො
pt	පෘතුගීසි
pl	පෝලන්ත
fr	ප්‍රංශ
fy	බටහිර ෆ්‍රිසියානු
bm	බම්බරා
bg	බල්ගේරියානු
ba	බාෂ්කිර්
my	බුරුම
bn	බෙංගාලි
be	බෙලරුසියානු
eu	බොස්කෝ
bs	බොස්නියානු
br	බ්‍රේටොන්
mr	මරාති
mg	මලගාසි
ml	මලයාලම්
mi	මාවොරි
gv	මැන්ක්ස්
ms	මැලේ
mk	මැසිඩෝනියානු
mn	මොංගෝලියානු
mt	මොල්ටිස්
uk	යුක්රේනියානු
yo	යොරූබා
rn	රුන්ඩි
ru	රුසියානු
rm	රොමෑන්ශ්
ro	රොමේනියානු
lb	ලක්සැම්බර්ග්
la	ලතින්
nl	ලන්දේසි
lo	ලාඕ
lv	ලැට්වියානු
lt	ලිතුවේනියානු
ln	ලින්ගලා
lu	ලු
vi	වියට්නාම්
cy	වේල්ස්
wo	වොලොෆ්
sn	ශෝනා
xh	ශෝසා
sg	සන්ග්‍රෝ
su	සන්ඩනීසියානු
sr	සර්බියානු
sa	සංස්කෘත
ii	සිචුආන් යී
sd	සින්ධි
si	සිංහල
zu	සුලු
so	සෝමාලි
es	ස්පාඤ්ඤ
sk	ස්ලෝවැක්
sl	ස්ලෝවේනියානු
sw	ස්වාහිලි
sv	ස්වීඩන්
hu	හන්ගේරියානු
ht	හයිටි
hi	හින්දි
he	හීබෲ
ha	හෝසා
fo	ෆාරෝස්
fi	ෆින්ලන්ත
fj	ෆීජි
