ab	abcházčina
aa	afarčina
af	afrikánčina
ak	akančina
sq	albánčina
am	amharčina
en	angličtina
en-US	angličtina (americká)
en-GB	angličtina (britská)
ar	arabčina
an	aragónčina
hy	arménčina
as	ásamčina
av	avarčina
ae	avestčina
ay	aymarčina
az	azerbajdžančina
bm	bambarčina
my	barmčina
eu	baskičtina
ba	baškirčina
bn	bengálčina
be	bieloruština
bi	bislama
bs	bosniačtina
br	bretónčina
bg	bulharčina
ch	čamorčina
ce	čečenčina
cs	čeština
ny	čewa
hr	chorvátčina
zh	čínština
cu	cirkevná slovančina
za	čuangčina
cv	čuvaština
da	dánčina
dv	divehi
dz	dzongkä
eo	esperanto
et	estónčina
ee	eweština
fo	faerčina
fj	fidžijčina
fi	fínčina
fr	francúzština
ff	fulbčina
gl	galícijčina
lg	gandčina
el	gréčtina
kl	grónčina
ka	gruzínčina
gn	guaraníjčina
gu	gudžarátčina
ht	haitčina
ha	hauština
he	hebrejčina
hz	herero
hi	hindčina
ho	hiri motu
nl	holandčina
io	ido
ig	igboština
id	indonézština
ia	interlingua
ie	interlingue
iu	inuktitut
ik	inupiaq
ga	írčina
is	islandčina
ja	japončina
jv	jávčina
yi	jidiš
yo	jorubčina
nr	južná ndebelčina
st	južná sothčina
mh	kajin-majol
kn	kannadčina
kr	kanurijčina
ks	kašmírčina
ca	katalánčina
kk	kazaština
qu	kečuánčina
km	khmérčina
ki	kikujčina
rw	kiňarwanda
ky	kirgizština
rn	kirundčina
kv	komijčina
kg	kongčina
ko	kórejčina
kw	kornčina
co	korzičtina
cr	krí
kj	kuaňama
ku	kurdčina
lo	laoština
se	lapončina (severná)
la	latinčina
li	limburčina
ln	lingalčina
lt	litovčina
lv	lotyština
lu	lubčina (katanžská)
lb	luxemburčina
mk	macedónčina
hu	maďarčina
ml	malajálamčina
ms	malajčina
mg	malgaština
mt	maltčina
gv	mančina
mi	maorijčina
mr	maráthčina
mn	mongolčina
na	nauru
nv	navajo
ng	ndonga
de	nemčina
ne	nepálčina
no	nórčina
nb	nórčina (bokmål)
nn	nórčina (nynorsk)
oj	odžibva
oc	okcitánčina
om	oromčina
os	osetčina
pi	pálí
pa	pandžábčina
ps	paštčina
fa	perzština
pl	poľština
pt	portugalčina
rm	rétorománčina
ro	rumunčina
ru	ruština
ii	s’čchuanská ioština
sm	samojčina
sg	sango
sa	sanskrit
sc	sardínčina
nd	severné ndebele
sd	sindhčina
si	sinhalčina
gd	škótska gaelčina
sk	slovenčina
sl	slovinčina
so	somálčina
sn	šončina
es	španielčina
sr	srbčina
sh	srbochorvátčina
su	sundčina
sw	svahilčina
ss	svazijčina
sv	švédčina
tg	tadžičtina
tl	tagalčina
ty	tahitčina
it	taliančina
ta	tamilčina
tt	tatárčina
te	telugčina
th	thajčina
bo	tibetčina
ti	tigriňa
to	tongčina
ts	tsonga
tn	tswančina
tr	turečtina
tk	turkménčina
tw	twi
ug	ujgurčina
uk	ukrajinčina
ur	urdčina
or	uríjčina
uz	uzbečtina
wa	valónčina
ve	vendčina
vi	vietnamčina
vo	volapük
cy	waleština
wo	wolofčina
xh	xhoština
fy	západná frízština
zu	zuluština
