ab	abhasiakielâ
ada	adangme
ady	adyge
aa	afar
af	afrikaans
agq	aghem
ain	ainukielâ
ak	akankielâ
sq	albaniakielâ
ale	aleutkielâ
am	amharakielâ
smn	anarâškielâ
anp	angika
ar	arabiakielâ
an	aragoniakielâ
arp	arapahokielâ
zh-Hant	ärbivuáválâš kiinakielâ
hy	armeniakielâ
rup	aromaniakielâ
as	assamkielâ
ast	asturiakielâ
asa	asukielâ
teo	ateso
ace	atšehkielâ
en-AU	Australia eŋgâlâskielâ
av	avarkielâ
awa	awadhikielâ
ay	aymarakielâ
az	az
ksf	bafia
ban	balikielâ
bm	bambarakielâ
bn	banglakielâ
bas	basaakielâ
eu	baskikielâ
ba	baškirkielâ
bem	bembakielâ
bez	benakielâ
bho	bhožpurikielâ
bin	binikielâ
bi	bislama
byn	blinkielâ
brx	bodokielâ
bs	bosniakielâ
pt-BR	Brasilia portugalkielâ
br	bretonkielâ
bug	bugikielâ
bg	bulgariakielâ
my	burmakielâ
ceb	cebuanokielâ
ch	chamorrokielâ
chr	cherokeekielâ
chy	cheyennekielâ
cho	choctawkielâ
chk	chuukkielâ
dak	dakotakielâ
dar	dargikielâ
dzg	dazakielâ
dv	divehikielâ
dgr	dogribkielâ
dua	dualakielâ
dz	Dzongkha
et	eestikielâ
efi	efikkielâ
eka	ekajuk
ebu	embukielâ
en	eŋgâlâskielâ
en-GB	eŋgâlâskielâ (OK)
en-US	eŋgâlâskielâ (USA)
myv	ersäkielâ
es-ES	Espanja espanjakielâ
es	espanjakielâ
eo	esperantokielâ
ee	ewekielâ
ewo	ewondokielâ
fo	fäärikielâ
fj	fidžikielâ
fil	filipinokielâ
fon	fonkielâ
fur	friulikielâ
ff	fulakielâ
gaa	gakielâ
gl	galiciakielâ
gan	gan
gez	ge’ez
ka	georgiakielâ
gor	gorontalokielâ
gn	guaranikielâ
gu	gudžaratikielâ
guz	gusiikielâ
gwi	gwich’inkielâ
ht	Haiti kreoli
hak	hak
ha	hausakielâ
haw	hawaijikielâ
he	hepreakielâ
hz	hererokielâ
hil	hiligainokielâ
hi	hindikielâ
hmn	hmongkielâ
nl	hollandkielâ
nl-BE	hollandkielâ (flaami)
hsn	hsn
hup	hupakielâ
iba	ibankielâ
ibb	ibibiokielâ
io	ido
ig	igbokielâ
ii	ii
ga	iirikielâ
zxx	ij kielâlâš siskáldâs
ilo	ilocano
id	indonesiakielâ
inh	inguškielâ
ia	interlingua
iu	inuktitut
is	islandkielâ
it	italiakielâ
ja	jaapaankielâ
jv	jaavakielâ
sah	jakutkielâ
yi	jiddish
kaj	jju
dyo	jola-fonyi
smj	juulevsämikielâ
kbd	kabardikielâ
kab	kabylkielâ
kac	kachin
kkj	kako
kl	kalaallisut
