aa	aa
ab	ab
ae	ae
af	af
ak	Akan
an	an
as	as
av	av
am	Axmaari
ay	ay
az	az
ba	ba
bn	Bangaali
be	Beleruusiyaan
bi	bi
bm	bm
bo	bo
pl	Boolish
pt	Boortaqiis
br	br
bs	bs
bg	Bulgeeriyaan
pa	Bunjaabi
my	Burmese
ca	ca
ar	Carabi
ce	ce
ch	ch
co	co
cr	cr
cu	cu
cv	cv
cy	cy
da	da
dv	dv
dz	dz
ee	ee
eo	eo
et	et
eu	eu
fa	Faarisi
fr	Faransiis
ff	ff
fi	fi
vi	Fiitnaamays
fy	Firiisiyan Galbeed
fj	fj
fo	fo
ga	ga
gd	gd
el	Giriik
gl	gl
gn	gn
gu	gu
gv	gv
hu	Hangariyaan
ha	Hawsa
he	he
hi	Hindi
ho	ho
nl	Holandays
hr	hr
ht	ht
hy	hy
hz	hz
ia	ia
ie	ie
ig	Igbo
ii	ii
ik	ik
id	Indunuusiyaan
en	Ingiriisi
en-GB	Ingiriisi (GB)
en-US	Ingiriisi (US)
io	io
is	is
es	Isbaanish
iu	iu
ja	Jabbaaniis
jv	Jafaaniis
de	Jarmal
zh	Jayniis
cs	Jeeg
ka	ka
km	Kamboodhian
kg	kg
ki	ki
kj	kj
kk	kk
kl	kl
kn	kn
kr	kr
ks	ks
ku	ku
ko	Kuuriyaan
kv	kv
kw	kw
ky	ky
la	la
lb	lb
lg	lg
li	li
ln	ln
lo	lo
lt	lt
lu	lu
lv	lv
ms	Malaay
mg	mg
mh	mh
mi	mi
mk	mk
ml	ml
mn	mn
mr	mr
mt	mt
na	na
nb	nb
nd	nd
ne	Nebaali
ng	ng
nn	nn
no	no
nr	nr
nv	nv
ny	ny
oc	oc
oj	oj
om	om
or	or
os	os
pi	pi
ps	ps
qu	qu
rm	rm
rn	rn
ro	Romanka
ru	Ruush
rw	Rwanda
sa	sa
sc	sc
sd	sd
se	se
sg	sg
sh	sh
si	si
sk	sk
sl	sl
sm	sm
sn	sn
so	Soomaali
sq	sq
sr	sr
ss	ss
st	st
su	su
sw	sw
sv	Swiidhis
th	Taaylandays
it	Talyaani
ta	Tamiil
te	te
tg	tg
ti	ti
tk	tk
tl	tl
tn	tn
to	to
ts	ts
tt	tt
tr	Turkish
tw	tw
ty	ty
ug	ug
ur	Urduu
uz	uz
ve	ve
vo	vo
wa	wa
wo	wo
xh	xh
yi	yi
yo	Yoruuba
uk	Yukreeniyaan
za	za
zu	Zuulu
