ab	абхаски
av	Аварски
ae	Авестански
az	азерски
ay	Ајмара
ak	акан
sq	албански
am	амхарски
an	Арагонежански
ar	арапски
as	асамски
aa	Афарски
af	африканс
bm	бамбара
eu	баскијски
ba	башкирски
be	белоруски
bn	бенгалски
bi	Бислама
bs	босански
br	бретонски
bg	бугарски
my	бурмански
wa	Валун
cy	велшки
ve	Венда
vi	вијетнамски
vo	Волапук
wo	волоф
gl	галицијски
lg	ганда
gn	гварани
ka	грузијски
el	грчки
gu	гуџарати
da	дански
dv	Дивехијски
ee	еве
en	енглески
en-US	енглески (САД)
en-GB	енглески (УК)
eo	есперанто
et	естонски
za	Жуанг
fy	западни фризијски
zu	зулу
ig	игбо
io	Идо
id	индонежански
ia	Интерлингва
iu	инуктитут
ga	ирски
is	исландски
it	италијански
jv	јавански
ja	јапански
hy	јерменски
yi	Јидиш
yo	јоруба
nr	Јужни ндебеле
kk	казашки
kl	калалисут
kn	канада
kr	Канури
ca	каталонски
ks	кашмирски
qu	кечуа
ki	кикују
zh	кинески
rw	кинјаруанда
ky	киргиски
km	кмерски
kv	Коми
kg	Конго
ko	корејски
co	корзикански
kw	корнволски
xh	коса
cr	Кри
kj	Куањама
ku	курдски
lo	лаошки
la	латински
lv	летонски
li	Лимбургиш
ln	лингала
lt	литвански
lu	луба-катанга
lb	луксембуршки
hu	мађарски
mk	македонски
ml	малајалам
ms	малајски
mg	малгашки
mt	малтешки
gv	мански
mi	маорски
mr	марати
mh	Маршалски
ie	Међујезички
mn	монголски
nv	Навахо
na	Науру
ng	Ндонга
de	немачки
ne	непалски
no	Норвешки
nb	норвешки бокмал
nn	норвешки нинорск
ny	Њања
oj	Ојибва
or	орија
om	оромо
os	Осетски
pi	Пали
pa	панџаби
ps	паштунски
fa	персијски
pl	пољски
pt	португалски
oc	Провансалски
rm	рето-романски
ro	румунски
rn	рунди
ru	руски
sm	Самоански
sg	санго
sa	санскрит
sc	Сардињаски
ss	Свати
sw	свахили
nd	северни ндебеле
se	северни сами
st	Сесото
ii	сечуан ји
sd	синди
si	синхалски
sk	словачки
sl	словеначки
so	сомалски
sr	српски
sh	Српскохрватски
cu	Старословенски
su	сундански
tl	Тагалски
th	тајландски
ta	тамилски
tt	татарски
ty	Тахићански
tg	таџички
tw	Тви
te	телугу
bo	тибетански
ti	тигриња
to	тонга
tn	Тсвана
ts	Тсонга
tk	туркменски
tr	турски
uz	узбечки
ug	ујгурски
uk	украјински
ik	Унупиак
ur	урду
fo	фарски
fi	фински
fj	фиџијски
fr	француски
ff	Фулах
ht	хаићански
ha	хауса
he	хебрејски
hz	Хереро
hi	хинди
ho	Хири Моту
nl	холандски
hr	хрватски
ch	Чаморо
ce	Чеченски
cs	чешки
cv	Чувашки
dz	џонга
sv	шведски
gd	Шкотски Галски
sn	шона
es	шпански
