ab	abhaski
aa	Afarski
af	afrikans
ay	Ajmara
ak	akan
sq	albanski
am	amharski
an	Aragonežanski
ar	arapski
as	asamski
av	Avarski
ae	Avestanski
az	azerski
bm	bambara
eu	baskijski
ba	baškirski
be	beloruski
bn	bengalski
bi	Bislama
bs	bosanski
br	bretonski
bg	bugarski
my	burmanski
ch	Čamoro
ce	Čečenski
cs	češki
cv	Čuvaški
da	danski
dv	Divehijski
dz	džonga
en	engleski
en-US	engleski (SAD)
en-GB	engleski (UK)
eo	esperanto
et	estonski
ee	eve
fo	farski
fj	fidžijski
fi	finski
fr	francuski
ff	Fulah
gl	galicijski
lg	ganda
el	grčki
ka	gruzijski
gu	gudžarati
gn	gvarani
ht	haićanski
ha	hausa
he	hebrejski
hz	Herero
hi	hindi
ho	Hiri Motu
nl	holandski
hr	hrvatski
io	Ido
ig	igbo
id	indonežanski
ia	Interlingva
iu	inuktitut
ga	irski
is	islandski
it	italijanski
ja	japanski
jv	javanski
hy	jermenski
yi	Jidiš
yo	joruba
nr	Južni ndebele
kl	kalalisut
kn	kanada
kr	Kanuri
ks	kašmirski
ca	katalonski
kk	kazaški
qu	kečua
ki	kikuju
zh	kineski
rw	kinjaruanda
ky	kirgiski
km	kmerski
kv	Komi
kg	Kongo
ko	korejski
kw	kornvolski
co	korzikanski
xh	kosa
cr	Kri
kj	Kuanjama
ku	kurdski
lo	laoški
la	latinski
lv	letonski
li	Limburgiš
ln	lingala
lt	litvanski
lu	luba-katanga
lb	luksemburški
hu	mađarski
mk	makedonski
ml	malajalam
ms	malajski
mg	malgaški
mt	malteški
gv	manski
mi	maorski
mr	marati
mh	Maršalski
ie	Međujezički
mn	mongolski
na	Nauru
nv	Navaho
ng	Ndonga
de	nemački
ne	nepalski
ny	Njanja
no	Norveški
nb	norveški bokmal
nn	norveški ninorsk
oj	Ojibva
or	orija
om	oromo
os	Osetski
pi	Pali
pa	pandžabi
ps	paštunski
fa	persijski
pl	poljski
pt	portugalski
oc	Provansalski
rm	reto-romanski
ro	rumunski
rn	rundi
ru	ruski
sm	Samoanski
sg	sango
sa	sanskrit
sc	Sardinjaski
ii	sečuan ji
st	Sesoto
nd	severni ndebele
se	severni sami
sd	sindi
si	sinhalski
gd	Škotski Galski
sk	slovački
sl	slovenački
so	somalski
sn	šona
es	španski
sr	srpski
sh	Srpskohrvatski
cu	Staroslovenski
su	sundanski
sw	svahili
ss	Svati
sv	švedski
tg	tadžički
tl	Tagalski
ty	Tahićanski
th	tajlandski
ta	tamilski
tt	tatarski
te	telugu
bo	tibetanski
ti	tigrinja
to	tonga
ts	Tsonga
tn	Tsvana
tk	turkmenski
tr	turski
tw	Tvi
ug	ujgurski
uk	ukrajinski
ik	Unupiak
ur	urdu
uz	uzbečki
wa	Valun
cy	velški
ve	Venda
vi	vijetnamski
vo	Volapuk
wo	volof
fy	zapadni frizijski
za	Žuang
zu	zulu
