aa	aa
ae	ae
an	an
av	av
bi	bi
ch	ch
cr	cr
cu	cu
ff	ff
ho	ho
hz	hz
ie	ie
ik	ik
io	io
ab	Kiabkhazi
af	Kiafrikana
ay	Kiaimara
is	Kiaisilandi
fa	Kiajemi
ak	Kiakan
sq	Kialbania
am	Kiamhari
ar	Kiarabu
hy	Kiarmenia
as	Kiassam
ga	Kiayalandi
az	Kiazeri
bm	Kibambara
bn	Kibangla
ba	Kibashkir
eu	Kibasque
be	Kibelarusi
nb	Kibokmal cha Norwe
bs	Kibosnia
br	Kibretoni
bg	Kibulgaria
my	Kiburma
ce	Kichechenia
cs	Kichecki
zh	Kichina
cv	Kichuvash
da	Kidenmaki
dv	Kidivehi
he	Kiebrania
eo	Kiesperanto
et	Kiestonia
ee	Kiewe
fr	Kifaransa
fo	Kifaroe
fj	Kifiji
fi	Kifini
fy	Kifrisia cha Magharibi
gd	Kigaeli cha Uskoti
gl	Kigalisi
lg	Kiganda
el	Kigiriki
gn	Kiguarani
gu	Kigujarati
ht	Kihaiti
ha	Kihausa
hi	Kihindi
es	Kihispania
nl	Kiholanzi
hu	Kihungari
ig	Kiigbo
id	Kiindonesia
en-US	Kiingereza (US)
ia	Kiintalingua
iu	Kiinuktitut
it	Kiitaliano
ja	Kijapani
jv	Kijava
de	Kijerumani
ka	Kijojia
kl	Kikalaallisut
km	Kikambodia
kn	Kikannada
ks	Kikashmiri
ca	Kikatalani
kk	Kikazaki
ki	Kikikuyu
ky	Kikirigizi
kv	Kikomi
kg	Kikongo
ko	Kikorea
kw	Kikorni
co	Kikosikani
ku	Kikurdi
lo	Kilaosi
lb	Kilasembagi
la	Kilatini
lv	Kilatvia
ln	Kilingala
lt	Kilithuania
lu	Kiluba-Katanga
ml	Kimalayalam
ms	Kimalesia
mt	Kimalta
gv	Kimanx
mi	Kimaori
mr	Kimarathi
mk	Kimasedonia
mn	Kimongolia
nd	Kindebele cha Kaskazini
ne	Kinepali
en	Kingereza
en-GB	Kingereza (Uingereza)
nn	Kinorwe Kipya
ny	Kinyanja
rw	Kinyarwanda
oc	Kiokitani
or	Kioriya
om	Kioromo
os	Kiosetia
ps	Kipashto
pl	Kipolandi
pa	Kipunjabi
qu	Kiquechua
pt	Kireno
ro	Kiromania
rm	Kiromanshi
rn	Kirundi
ru	Kirusi
se	Kisami cha Kaskazini
sm	Kisamoa
sg	Kisango
sa	Kisanskriti
sr	Kiserbia
sn	Kishona
sd	Kisindhi
si	Kisinhala
sk	Kislovakia
sl	Kislovenia
so	Kisomali
st	Kisotho cha Kusini
su	Kisunda
sw	Kiswahili
ss	Kiswati
sv	Kiswidi
ty	Kitahiti
th	Kitailandi
tg	Kitajiki
ta	Kitamil
tt	Kitatari
te	Kitelugu
bo	Kitibeti
ti	Kitigrinya
to	Kitonga
ts	Kitsonga
tn	Kitswana
tr	Kituruki
tk	Kiturukimeni
uk	Kiukrania
ur	Kiurdu
ug	Kiuyghur
uz	Kiuzbeki
ve	Kivenda
vi	Kivietinamu
cy	Kiwelisi
wo	Kiwolofu
xh	Kixhosa
yi	Kiyidi
yo	Kiyoruba
dz	Kizongkha
zu	Kizulu
kj	kj
kr	kr
hr	Kroeshia
li	li
mg	Malagasi
mh	mh
na	na
ng	ng
no	no
nr	nr
nv	nv
oj	oj
pi	pi
sc	sc
sh	sh
ii	Sichuan Yi
tl	tl
tw	tw
vo	vo
wa	wa
za	za
