aa	அஃபார்
ak	அகான்
ab	அப்காஜியான்
am	அம்ஹாரிக்
ay	அய்மரா
ar	அரபிக்
sq	அல்பேனியன்
ae	அவெஸ்தான்
av	அவேரிக்
as	அஸ்ஸாமீஸ்
az	அஸேரி
af	ஆஃப்ரிகான்ஸ்
en	ஆங்கிலம்
en-US	ஆங்கிலம் (யூஎஸ்)
en-GB	ஆங்கிலம் (யூகே)
an	ஆர்கோனீஸ்
hy	ஆர்மேனியன்
ig	இக்போ
io	இடோ
ia	இண்டர்லிங்வா
it	இத்தாலியன்
yi	இத்திஷ்
hi	இந்தி
id	இந்தோனேஷியன்
ie	இன்டர்லிங்
iu	இனுகிடூட்
ik	இனுபியாக்
ee	ஈவ்
uk	உக்ரைனியன்
ug	உய்குர்
ur	உருது
uz	உஸ்பெக்
et	எஸ்டோனியன்
eo	எஸ்பரேன்டோ
ga	ஐரிஷ்
is	ஐஸ்லேண்டிக்
oc	ஒக்கிடன்
os	ஒசெட்டிக்
or	ஒரியா
om	ஒரோமோ
vo	ஒலாபூக்
wo	ஒலூஃப்
wa	ஒவாலூன்
oj	ஓஜிபவா
fo	ஃபரோயிஸ்
fi	ஃபின்னிஷ்
fj	ஃபிஜியன்
ff	ஃபுலா
cr	க்ரீ
kk	கசாக்
kl	கலாலிசூட்
kn	கன்னடம்
kr	கனுரி
kg	காங்கோ
co	கார்சிகன்
kw	கார்னிஷ்
gl	காலிஸியன்
lg	கான்டா
ks	காஷ்மிரி
ki	கிகுயூ
ky	கிர்கிஸ்
el	கிரேக்கம்
qu	கிவேசுவா
rw	கின்யாருவான்டா
ku	குர்திஷ்
gn	குரானி
hr	குரோஷியன்
kj	குவான்யாமா
gu	குஜராத்தி
km	கெமெர்
ca	கேட்டலான்
ko	கொரியன்
kv	கோமி
sa	சமஸ்கிருதம்
cu	சர்ச் ஸ்லாவிக்
sg	சாங்கோ
sc	சாடினியன்
ch	சாமோரோ
si	சிங்களம்
ii	சிசுவான் ஈ
sd	சிந்தி
zh	சீனம்
su	சுண்டானீஸ்
cv	சுவாஷ்
sw	சுவாஹிலி
cs	செக்
ce	செச்சென்
sr	செர்பியன்
sh	செர்போ-க்ரோஷியன்
so	சோமாலி
tw	ட்வி
nl	டச்சு
ty	டஹிதியான்
tl	டாகாலோக்
tt	டாடர்
ti	டிக்ரின்யா
da	டேனிஷ்
to	டோங்கான்
ta	தமிழ்
th	தாய்
tg	தாஜிக்
bo	திபெத்தியன்
dv	திவேஹி
tr	துருக்கிஷ்
tk	துருக்மென்
te	தெலுங்கு
nr	தெற்கு தெபெலே
st	தெற்கு ஸோதோ
ng	தோங்கா
ny	நயன்ஜா
na	நவ்ரூ
nv	நவாஜோ
no	நார்வே
nn	நார்வேஜியன் நியூநார்ஸ்க்
nb	நார்வேஜியன் பொக்மால்
ne	நேபாளி
pa	பஞ்சாபி
bm	பம்பாரா
my	பர்மீஸ்
bg	பல்கேரியன்
ba	பஷ்கிர்
ps	பஷ்தோ
pi	பாலி
eu	பாஸ்க்
fr	பிரெஞ்சு
br	பிரெட்டன்
bi	பிஸ்லாமா
dz	பூடானி
fa	பெர்ஷியன்
be	பெலாருஷியன்
pt	போர்ச்சுக்கீஸ்
pl	போலிஷ்
bs	போஸ்னியன்
mn	மங்கோலியன்
mr	மராத்தி
mg	மலகாஸி
ms	மலாய்
ml	மலையாளம்
mh	மார்ஷெலிஷ்
mt	மால்டிஸ்
mk	மாஸிடோனியன்
gv	மேங்க்ஸ்
fy	மேற்கு ஃப்ரிஷியன்
mi	மௌரி
yo	யோருபா
ru	ரஷியன்
rn	ருண்டி
rm	ரோமான்ஷ்
ro	ரோமேனியன்
lb	லக்ஸம்போர்கிஷ்
la	லத்தின்
lv	லாட்வியன்
lo	லாவோ
ln	லிங்காலா
lt	லிதுவேனியன்
li	லிம்பர்கிஷ்
lu	லுபா-கடாங்கா
bn	வங்காளம்
se	வடக்கு சமி
nd	வடக்கு தெபெலே
vi	வியட்நாமிஸ்
ve	வென்டா
cy	வேல்ஷ்
ja	ஜப்பானியம்
ka	ஜார்ஜியன்
jv	ஜாவனீஸ்
zu	ஜுலு
za	ஜுவாங்
de	ஜெர்மன்
sn	ஷோனா
gd	ஸ்காட்ஸ் கேலிக்
es	ஸ்பானிஷ்
sk	ஸ்லோவாக்
sl	ஸ்லோவேனியன்
ss	ஸ்வாடீ
tn	ஸ்வானா
sv	ஸ்வீடிஷ்
sm	ஸாமோவான்
ts	ஸோங்கா
hu	ஹங்கேரியன்
ho	ஹிரி மோட்டு
he	ஹீப்ரூ
hz	ஹெரேரோ
ht	ஹைத்தியன்
xh	ஹோசா
ha	ஹௌஸா
