ak	అకాన్
az	అజెరి
aa	అఫార్
ab	అబ్ఖాజియన్
am	అమ్హారిక్
an	అరగోనిస్
ar	అరబిక్
sq	అల్బేనియన్
av	అవారిక్
ae	అవేస్టాన్
as	అస్సామీ
oc	ఆక్సిటన్
en	ఆంగ్లం
af	ఆఫ్రికాన్స్
hy	ఆర్మేనియన్
ig	ఇగ్బో
ie	ఇంటర్ లింగ్
ia	ఇంటర్లింగ్వా
it	ఇటాలియన్
id	ఇండోనేషియన్
yi	ఇడ్డిష్
iu	ఇనుక్టిటుట్
ik	ఇనూపైఏక్
io	ఈడౌ
ee	ఈవీ
et	ఈస్టొనియన్
uk	ఉక్రేనియన్
uz	ఉజ్బెక్
nd	ఉత్తర దెబెలె
se	ఉత్తర సామి
ug	ఉయ్‌ఘర్
ur	ఉర్దూ
eo	ఎస్పరెన్టొ
ay	ఐమారా
ga	ఐరిష్
is	ఐస్లాండిక్
or	ఒరియా
om	ఒరోమో
os	ఒసేటిక్
kk	కజఖ్
kn	కన్నడ
kl	కలాల్లిసూట్
kr	కానురి
ks	కాశ్మీరి
ki	కికుయు
rw	కిన్యర్వాండా
ky	కిర్గిజ్
ku	కుర్దిష్
ca	కెటలాన్
qu	కెషుయా
ko	కొరియన్
kg	కోంగో
kv	కోమి
kw	కోర్నిష్
co	కోర్సికన్
cr	క్రి
hr	క్రొయెషియన్
kj	క్వాన్యామ
km	ఖ్మేర్
lg	గాండా
gu	గుజరాతి
gn	గురాని
gl	గెలిషియన్
el	గ్రీక్
ch	చమర్రో
cu	చర్చ స్లావిక్
cv	చువాష్
cs	చెక్
ce	చెచెన్
oj	చేవా
zh	చైనీస్
de	జర్మన్
ja	జాపనీస్
ka	జార్జియన్
jv	జావనీస్
za	జువాన్
zu	జూలూ
dz	జొన్ఖా
tr	టర్కిష్
to	టాంగాన్
tt	టాటర్
bo	టిబెటన్
tw	ట్వి
nl	డచ్
da	డేనిష్
tl	తగలోగ్
tg	తజిక్
ta	తమిళము
ty	తహితియన్
ti	తిగ్రిన్యా
tk	తుర్కమెన్
te	తెలుగు
th	థాయ్
nr	దక్షిణ దెబెలె
st	దక్షిణ సోతో
dv	దివేహి
ng	దోంగా
nv	నవాహో
no	నార్విజియాన్
nn	నార్విజియాన్ న్యోర్స్క్
nb	నార్వీజియన్ బొక్మాల్
ne	నేపాలి
na	నౌరు
ny	న్యాన్జా
pa	పంజాబీ
fa	పర్షియన్
fy	పశ్చిమ ఫ్రిసియన్
pi	పాలీ
ps	పాష్టో
pt	పోర్చుగీస్
pl	పోలిష్
fo	ఫారోయీజ్
fj	ఫిజియన్
fi	ఫిన్నిష్
ff	ఫ్యుల
fr	ఫ్రెంచ్
bm	బంబారా
my	బర్మీస్
bg	బల్గేరియన్
ba	బష్కిర్
eu	బాస్క్
bi	బిస్లామా
bn	బెంగాలీ
be	బెలరుశియన్
bs	బోస్నియన్
br	బ్రెటన్
gv	మంకస్
mn	మంగోలియన్
mi	మయోరి
mr	మరాఠీ
ml	మలయాళం
ms	మలేయ్
mk	మసడోనియన్
mh	మార్షలీస్
mg	మాలాగసి
mt	మాల్టీస్
en-US	యు.ఎస్. ఇంగ్లీష్
en-GB	యు.కె. ఇంగ్లీష్
yo	యోరుబా
rn	రండి
ru	రష్యన్
rm	రోమన్ష్
ro	రోమానియన్
la	లాటిన్
lv	లాట్వియన్
lo	లావో
ln	లింగాల
lt	లిథుయేనియన్
li	లిమ్బర్గిష్
lb	లుక్సంబర్గిష్
lu	లూబ-కటాంగ
wa	వాలూన్
vi	వియత్నామీస్
ve	వెండా
cy	వెల్ష్
wo	వొలాఫ్
vo	వోలాపుక్
ii	శిషువన్ ఈ
sn	షోన
xh	షోసా
sm	సమోవన్
sa	సంస్కృతం
sg	సాంగో
sc	సార్డీనియన్
sd	సింధీ
si	సింహళం
su	సుడానీస్
tn	సెటస్వానా
sr	సెర్బియన్
sh	సేర్బో-క్రొయేషియన్
ts	సోంగా
so	సోమాలి
gd	స్కాటిష్ గేలిక్
es	స్పానిష్
sk	స్లోవాక్
sl	స్లోవేనియాన్
ss	స్వాతి
sw	స్వాహిలి
sv	స్వీడిష్
hu	హన్గేరియన్
hi	హిందీ
ho	హిరి మోటు
hz	హిరేరో
he	హీబ్రు
ht	హైతియన్
ha	హౌసా
