aa	aa
ab	ab
ae	ae
ak	ak
an	an
as	as
av	av
ay	ay
az	az
ba	ba
bi	bi
bm	bm
bo	bo
ce	ce
ch	ch
co	co
cr	cr
cu	cu
cv	cv
dv	dv
dz	dz
ee	ee
ff	ff
fj	fj
gv	gv
ha	ha
ho	ho
ht	ht
hy	hy
hz	hz
ie	ie
ig	ig
ii	ii
ik	ik
io	io
iu	iu
kg	kg
ki	ki
kj	kj
kk	kk
kl	kl
km	km
kr	kr
ks	ks
kv	kv
kw	kw
lb	lb
lg	lg
li	li
ln	ln
lo	lo
lu	lu
mg	mg
mh	mh
mi	mi
mn	mn
my	my
na	na
nb	nb
nd	nd
ng	ng
nr	nr
nv	nv
ny	ny
oj	oj
om	om
os	os
pi	pi
qu	qu
rm	rm
rn	rn
rw	rw
sa	sa
sc	sc
sd	sd
se	se
sg	sg
sm	sm
sn	sn
so	so
ss	ss
tg	tg
tl	tl
tn	tn
to	to
ts	ts
tt	tt
ty	ty
ug	ug
ve	ve
vo	vo
wa	wa
wo	wo
yo	yo
za	za
zh	zh
hu	ሀንጋሪኛ
lt	ሊቱአኒየን
lv	ላቲቪያን
la	ላቲንኛ
hi	ሕንደኛ
ml	ማላያላምኛ
ms	ማላይኛ
mt	ማልቲስኛ
mr	ማራቲኛ
mk	ማክዶኒኛ
ru	ራሽኛ
ro	ሮማኒያን
sr	ሰርቢኛ
sh	ሰርቦ- ክሮዊታን
st	ሰሴቶ
sw	ሰዋሂሊኛ
su	ሱዳንኛ
sk	ስሎቨክኛ
sl	ስቁቪኛ
si	ስንሃልኛ
sv	ስዊድንኛ
es	ስፓኒሽ
bn	በንጋሊኛ
bg	ቡልጋሪኛ
eu	ባስክኛ
be	ቤላራሻኛ
br	ብሬቶን
bs	ቦስኒያን
vi	ቪትናምኛ
te	ተሉጉኛ
tr	ቱርከኛ
ta	ታሚልኛ
th	ታይኛ
tw	ትዊ
ti	ትግርኛ
cs	ቼክኛ
tk	ናይ ቱርኪ ሰብዓይ (ቱርካዊ)
ne	ኔፖሊኛ
nn	ኖርዌይኛ (ናይ ኝኖርስክ)
no	ኖርዌጂያን
sq	አልቤኒኛ
am	አምሐረኛ
ga	አይሪሽ
is	አይስላንደኛ
af	አፍሪቃንሰኛ
ur	ኡርዱኛ
uz	ኡዝበክኛ
ia	ኢንቴር ቋንቋ
et	ኤስቶኒአን
eo	ኤስፐራንቶ
gd	እስኮትስ ጌልክኛ
id	እንዶኑሲኛ
en	እንግሊዝኛ
en-GB	እንግሊዝኛ (GB)
en-US	እንግሊዝኛ (US)
or	ኦሪያ
oc	ኦኪታንኛ
ku	ኩርድሽ
ky	ኪሩጋዚ
kn	ካማደኛ
ca	ካታላን
hr	ክሮሽያንኛ
ko	ኮሪያኛ
cy	ወልሽ
ar	ዓረበኛ
he	ዕብራስጥ
zu	ዙሉኛ
xh	ዞሳኛ
uk	ዩክረኒኛ
yi	ዪዲሽ
nl	ደች
da	ዴኒሽ
de	ጀርመን
jv	ጃቫንኛ
ja	ጃፓንኛ
gu	ጉጃራቲኛ
ka	ጊዮርጊያኛ
gl	ጋለቪኛ
el	ግሪከኛ
gn	ጓራኒ
it	ጣሊያንኛ
fr	ፈረንሳይኛ
fi	ፊኒሽ
fo	ፋሮኛ
fy	ፍሪሰኛ
fa	ፐርሲያኛ
pa	ፑንጃቢኛ
ps	ፓሽቶ
pl	ፖሊሽ
pt	ፖርቱጋሊኛ
