ab	абхазька
av	аварська
ae	авестійська
az	азербайджанська
ay	аймара
ak	акан
sq	албанська
am	амхарська
en	англійська
en-GB	англійська (Велика Британія)
en-US	англійська (США)
ar	арабська
an	арагонська
as	ассамська
aa	афарська
af	африкаанс
bm	бамбара
eu	баскська
ba	башкирська
bn	бенгальська
be	білоруська
my	бірманська
bi	біслама
bg	болгарська
bs	боснійська
br	бретонська
nb	букмол (Норвегія)
vi	вʼєтнамська
cy	валлійська
wa	валлонська
ve	венда
hy	вірменська
vo	волап’юк
wo	волоф
gd	гаельська
ht	гаїтянська
gl	галісійська
lg	ганда
hz	гереро
hi	гінді
nl	голландська
el	грецька
ka	грузинська
gn	гуарані
gu	гуджараті
da	данська
dz	дзонг-ке
dv	дівехі
ee	еве
eo	есперанто
et	естонська
fy	західнофризька
zu	зулуська
he	іврит
ig	ігбо
yi	ідиш
io	ідо
id	індонезійська
ia	інтерлінгва
ie	інтерлінгве
iu	інуктітут
ik	інупіак
ga	ірландська
is	ісландська
es	іспанська
it	італійська
yo	йоруба
kk	казахська
kl	калааллісут
kn	каннада
kr	канурі
ca	каталонська
ks	кашмірська
qu	кечуа
ky	киргизька
zh	китайська
ki	кікуйю
rw	кіньяруанда
kv	комі
kg	конґолезька
ko	корейська
kw	корнійська
co	корсиканська
cr	крі
kj	кунама
ku	курдська
km	кхмерська
xh	кхоса
lo	лаоська
lv	латвійська
la	латинська
lt	литовська
li	лімбургійська
ln	лінгала
lu	луба-катанга
lb	люксембурзька
mk	македонська
mg	малагасійська
ms	малайська
ml	малаялам
mt	мальтійська
mi	маорі
mr	маратхі
mh	маршалльська
gv	менкська
mn	монгольська
nv	навахо
na	науру
nr	ндебелє південна
nd	ндебелє північна
ng	ндонга
ne	непальська
de	німецька
no	норвезька
ny	ньянджа
nn	нюношк (Норвегія)
oj	оджібва
oc	окитан
or	орія
om	оромо
os	осетинська
pi	палі
pa	панджабі
fa	перська
pl	польська
pt	португальська
ps	пушту
rm	ретороманська
ru	російська
ro	румунська
rn	рунді
se	саамська північна
sm	самоанська
sg	санго
sa	санскрит
sc	сардинська
sr	сербська
sh	сербсько-хорватська
si	сингальська
ii	сичуань
sd	сіндхі
ss	сісваті
sk	словацька
sl	словенська
so	сомалі
st	сото південна
sw	суахілі
su	сунданська
tl	тагальська
tg	таджицька
ty	таїтянська
th	тайська
ta	тамільська
tt	татарська
tw	тві
te	телугу
bo	тибетська
ti	тигринья
to	тонганська
tn	тсвана
ts	тсонга
tr	турецька
tk	туркменська
hu	угорська
uz	узбецька
ug	уйгурська
uk	українська
ur	урду
fo	фарерська
fj	фіджі
fi	фінська
fr	французька
ff	фула
ha	хауса
ho	хірі-моту
hr	хорватська
cu	церковнослов’янська
ch	чаморро
cs	чеська
ce	чеченська
za	чжуан
cv	чуваська
sv	шведська
sn	шона
jv	яванська
ja	японська
