ab	ابقازیان
ur	اردو
hy	ارمینی
uz	ازبیک
az	ازیری
et	اسٹونین
it	اطالوی
af	افریقی
ak	اکان
ig	اِگبو
sq	البانی
en-US	امریکی انگریزی
am	امہاری
id	انڈونیثیائی
en	انگریزی
om	اورومو
or	اورِیا
os	اوسیٹک
eo	ایسپرانٹو
ay	ایمارا
iu	اینُکٹیٹٹ
ee	ایو
as	آسامی
is	آئس لینڈک
ga	آئیرِش
oc	آكسیٹان
eu	باسکی
ba	باشکیر
en-GB	برطانوی انگریزی
my	برمی
br	بریٹن
bg	بلغاری
bm	بمبارا
bn	بنگالی
bs	بوسنی
be	بیلاروسی
ia	بین لسانیات
pt	پُرتگالی
ps	پشتو
pa	پنجابی
pl	پولستانی
tt	تاتار
tg	تاجک
ty	تاہیتی
bo	تبتی
tk	ترکمان
tr	ترکی
ta	تمل
te	تیلگو
th	تھائی
ti	ٹگرینیا
to	ٹونگن
ja	جاپانی
ka	جارجی
jv	جاوی
de	جرمن
st	جنوبی سوتھو
cv	چوواش
ce	چیچن
cs	چیک
zh	چینی
km	خمیر
nl	ڈچ
da	ڈینش
dv	ڈیویہی
ru	روسی
rm	رومانش
ro	رومینین
rn	رونڈی
zu	زولو
ts	زونگا
xh	ژوسا
dz	ژونگکھا
sm	ساموآن
sg	ساںغو
ii	سچوان ای
sh	سربو-کروئیشین
gd	سکاٹ گیلِک
sk	سلوواک
sl	سلووینیائی
sd	سندھی
su	سنڈانیز
sa	سَنسکرِت
si	سنہالا
ss	سواتی
sw	سواحلی
tn	سوانا
sv	سویڈش
nd	شمالی دبیل
se	شمالی سامی
sn	شونا
sr	صربی
so	صومالی
he	عبرانی
ar	عربی
fa	فارسی
fj	فجی
fr	فرانسیسی
fo	فیروئیز
fi	فینیش
kk	قزاخ
co	کارسیکائی
kg	کانگو
hr	کراتی
ku	کرد
ky	کرغیزی
ks	کشمیری
kn	کنڑ
kw	کورنش
ko	کوریائی
qu	کویچوآ
ca	کیٹالان
ki	کیکویو
rw	کینیاروانڈا
gn	گُارانی
gl	گالیشیائی
gu	گجراتی
lg	گینڈا
la	لاطینی
lo	لاؤ
lu	لبا-كاتانجا
lt	لتھُواینین
lv	لٹويای
lb	لگژمبرگش
ln	لِنگَلا
ml	مالایالم
ms	مالائی
mt	مالٹی
mi	ماؤری
mr	مراٹهی
fy	مغربی فریسیئن
mk	مقدونیائی
mg	ملاگاسی
mn	منگؤلی
gv	مینکس
no	نارویجین
nb	نارویجین بوکمل
nn	نورویجینی نینورسک
ny	نیانجا
ne	نیپالی
wo	وولوف
vi	ویتنامی
cy	ویلش
ve	وینڈا
es	ہسپانوی
hi	ہندی
hu	ہنگیرین
ha	ہؤسا
ht	ہیتی
yi	یدش
yo	یوروبا
uk	یوکرینیائی
el	یونانی
ug	یوئگہر
kl	كالاليست
aa	aa
ae	ae
an	an
av	av
bi	bi
ch	ch
cr	cr
cu	cu
ff	ff
ho	ho
hz	hz
ie	ie
ik	ik
io	io
kj	kj
kr	kr
kv	kv
li	li
mh	mh
na	na
ng	ng
nr	nr
nv	nv
oj	oj
pi	pi
sc	sc
tl	tl
tw	tw
vo	vo
wa	wa
za	za
