aa	aa
ae	ae
ak	ak
an	an
av	av
ay	ay
az	az
ba	ba
bi	bi
bm	bm
br	br
ce	ce
ch	ch
co	co
cr	cr
cu	cu
cv	cv
dv	dv
dz	dz
ee	ee
ff	ff
gd	gd
gv	gv
ho	ho
hz	hz
ia	ia
ie	ie
ii	ii
ik	ik
io	io
iu	iu
kg	kg
ki	ki
kj	kj
kl	kl
kr	kr
kv	kv
kw	kw
lg	lg
li	li
ln	ln
lu	lu
mh	mh
mn	mn
na	na
nd	nd
ng	ng
no	no
nr	nr
nv	nv
ny	ny
oc	oc
oj	oj
om	om
os	os
pi	pi
rn	rn
rw	rw
sc	sc
se	se
sg	sg
sh	sh
sm	sm
sn	sn
ss	ss
st	st
tl	tl
tn	tn
ts	ts
tw	tw
ty	ty
ve	ve
vo	vo
wa	wa
yi	yi
za	za
ab	Абхазча
sq	Албанча
am	Амхарча
ar	Арабча
hy	Арманча
as	Ассамча
af	Африканча
eu	Баскча
be	Беларусча
bn	Бенгалча
en-GB	Бирлашган Қироллик
my	Бирманча
bg	Болгарча
bs	Боснияча
hu	Венгрча
wo	Волофча
vi	Вьетнамча
ht	Гаитианча
gl	Галицийча
nl	Голландча
el	Грекча
ka	Грузинча
gn	Гуарани
gu	Гужарати
fy	Ғарбий фризианча
da	Данияча
zu	Зулу
he	Иброний
ig	Игбо
en	Инглизча
en-US	Инглизча (АКШ)
id	Индонезияча
ga	Ирландча
is	Исландча
es	Испанча
it	Италянча
yo	Йоруба
kn	Каннада
ca	Каталанча
ks	Кашмирча
qu	Квечуа
ko	Корейсча
ku	Курдча
ky	Қирғизча
kk	Қозоқча
lo	Лао
lv	Латишча
lt	Литвача
la	Лотинча
lb	Люксембургча
mk	Македонча
mg	Малагаси
ml	Малайалам
ms	Малайча
mt	Мальтача
mi	Маори
mr	Марати
ne	Непалча
nb	Норвегча Бокмал
nn	Норвегча Нинорск
de	Олмонча
or	Ория
pa	Панжобча
pl	Полякча
pt	Португалча
ps	Пушту
rm	Романча
ro	Руминча
ru	Русча
sa	Санскритча
sr	Сербча
sd	Синдхи
si	Синхала
sk	Словакча
sl	Словенча
so	Сомалича
sw	Суахили
su	Сунданча
th	Тайча
ta	Тамилча
tt	Татарча
te	Телугу
bo	Тибетча
ti	Тигринья
tg	Тожикча
to	Тонгоча
tk	Туркманча
tr	Туркча
uz	Ўзбек
ug	Уйғурча
uk	Украинча
ur	Урду
cy	Уэлсча
fo	Фарэрча
fj	Фижича
fi	Финча
fa	Форсча
fr	Французча
ha	Хауса
zh	Хитойча
km	Хмерча
hr	Хорватча
xh	Хоса
hi	Ҳиндча
cs	Чехча
sv	Шведча
eo	Эсперанто
et	Эстонча
jv	Яванча
ja	Японча
