aa	aa
ab	ab
ae	ae
af	af
ak	Akaŋ
am	Amihári
an	an
as	as
av	av
ay	ay
az	az
ba	ba
be	Bhelarusaŋ
my	Bhɛmísi
bn	Bhɛŋgáli
bg	Bhɔgerɛŋ
bi	bi
bm	bm
bo	bo
br	br
bs	bs
ca	ca
ce	ce
ch	ch
zh	Chaniĩ
cs	Chɛ
co	co
cr	cr
cu	cu
cv	cv
cy	cy
da	da
nl	Dɔchi
dv	dv
dz	dz
ee	ee
eo	eo
et	et
eu	eu
fr	Fɛŋsi
ff	ff
fi	fi
fj	fj
fo	fo
fy	fy
ga	ga
gd	gd
gl	gl
gn	gn
gu	gu
gv	gv
ha	Hawusa
he	he
el	Hɛlɛŋ
hi	Híiŋdi
ho	ho
hu	Hɔŋgérɛŋ
hr	hr
ht	ht
hy	hy
hz	hz
ia	ia
ie	ie
ig	Ígbo
ii	ii
ik	ik
id	Índonisiyɛŋ
io	io
is	is
it	Itáliyɛŋ
iu	iu
de	Jamáĩ
ja	Japaníĩ
jv	Javaníĩ
ka	ka
kg	kg
ki	ki
km	Kimɛɛ̃ tɛ
kj	kj
kk	kk
kl	kl
kn	kn
ko	Koríyɛŋ
kr	kr
ks	ks
ku	ku
kv	kv
kw	kw
ky	ky
la	la
ar	Lahabu
lb	lb
lg	lg
li	li
ln	ln
lo	lo
lt	lt
lu	lu
lv	lv
ms	Maléee
mg	mg
mh	mh
mi	mi
mk	mk
ml	ml
mn	mn
mr	mr
mt	mt
na	na
nb	nb
nd	nd
ng	ng
ne	Nipali
nn	nn
no	no
nr	nr
nv	nv
ny	ny
oc	oc
oj	oj
om	om
or	or
os	os
ur	Ɔdu
es	Panyɛĩ
fa	Pɛɛsiyɛŋ
pi	pi
en	Poo
en-GB	Poo (GB)
en-US	Poo (US)
pt	Potokíi
pl	Pɔ́lési
ps	ps
pa	Puŋjabhi
qu	qu
rw	Rawunda
rm	rm
rn	rn
ro	Romíniyɛŋ
ru	Rɔshiyɛŋ
sa	sa
sc	sc
sd	sd
se	se
sg	sg
sh	sh
si	si
sk	sk
sl	sl
sm	sm
sn	sn
so	Somáli
sq	sq
sr	sr
ss	ss
st	st
su	su
sv	Súwídɛŋ
sw	sw
th	Tái
ta	Tamíli
te	te
tg	tg
ti	ti
tk	tk
tl	tl
tn	tn
to	to
tr	Tɔ́ki
ts	ts
tt	tt
tw	tw
ty	ty
ug	ug
uz	uz
ve	ve
vi	Viyamíĩ
vo	vo
wa	wa
wo	wo
xh	xh
yi	yi
yo	Yóróbha
uk	Yukureniyɛŋ
za	za
zu	Zúlu
