aa	aa
ab	Abčasiš
ae	ae
af	Afrikáns
ak	ak
sq	Albaniš
am	Amhariš
an	an
ar	Arabiš
hy	Armeniš
as	Assamesiš
av	av
ay	Aymara
az	az
ba	ba
eu	Baskiš
bn	Bengališ
bi	bi
bm	bm
bs	Bosniš
br	br
bg	Bulgariš
my	Burmesiš
dz	Butaniš
ce	ce
ch	ch
zh	Chinesiš
co	co
cr	cr
cu	cu
cv	cv
da	Däniš
ee	ee
en	Engliš
en-GB	Engliš (GB)
en-US	Engliš (US)
eo	eo
et	Estniš
ff	ff
fj	Fidšianiš
fi	Finiš
fo	fo
fy	fy
gl	Galiziš
gd	gd
ka	Georgiš
el	Gričiš
gn	Guarani
gu	Gujarati
gv	gv
ht	Haitianiš
ha	Hausa
he	Hebräiš
hi	Hindi
ho	ho
nl	Holändiš
hz	hz
ia	ia
ie	ie
ig	Igbo
ii	ii
is	Iisländiš
ik	ik
id	Indonesiš
io	io
ga	Iriš
it	Italieniš
iu	iu
ja	Japaniš
jv	jv
km	Kambodšaniš
kn	Kannada
ks	Kašmiriš
ca	Katalaniš
kk	Kazačiš
kg	kg
ki	ki
ky	Kirgisiš
kj	kj
kl	kl
ko	Koreaniš
kr	kr
hr	Kroatiš
ku	Kurdiš
kv	kv
kw	kw
lo	Laotiš
la	Latiniš
lv	Lettiš
lg	lg
li	li
ln	Lingala
lt	Litauiš
lu	lu
lb	Luxemburgiš
mg	Malagási
ms	Malaíš
ml	Malayalam
dv	Malediwiš
mt	Maltesiš
mi	Maori
mr	Marathi
mk	Mazedoniš
mh	mh
mn	Mongoliš
na	na
ne	Nepalesiš
ng	ng
no	no
nd	Nordndebele
se	Nordsamiš
nb	Norwegiš Bokmål
nn	Norwegiš Nynorsk
nr	nr
nv	nv
ny	Nyanja
oc	oc
oj	oj
om	om
or	Oriya
os	Osétiš
pa	Pandšabiš
ps	Paštu
fa	Persiš
pi	pi
pl	Polniš
pt	Portugisiš
qu	Quečua
rm	Rätromaniš
rw	Ruandiš
ro	Rumäniš
rn	Rundi
ru	Rusiš
sm	Samoaniš
sg	Sango
sa	Sanskrit
sc	sc
es	Schpaniš
sv	Schwediš
sr	Serbiš
sh	sh
sn	Shona
sd	Sindhi
si	Singalesiš
sk	Slowakiš
sl	Sloweniš
so	Somališ
sw	Suaheliš
st	Südsotho
su	Sundanesiš
ss	Swazi
tg	Tadšikiš
ty	Taitiš
ta	Tamiliš
te	Telugu
th	Thailändiš
bo	Tibetiš
ti	Tigrinja
de	Titš
tl	tl
to	Tonga
cs	Tšečiš
ts	Tsonga
tn	Tswana
tt	tt
tr	Türkiš
tk	Turkmeniš
tw	tw
ug	Uiguriš
uk	Ukrainiš
hu	Ungariš
ur	Urdu
uz	Usbekiš
ve	Venda
vi	Vietnamesiš
vo	vo
wa	wa
cy	Walisiš
fr	Wälš
be	Wísrussiš
wo	Wolof
xh	Xhosa
yi	yi
yo	Yoruba
za	za
zu	Zulu
