ab	ab
ae	ae
ak	ak
av	av
ay	ay
az	az
ba	ba
bi	bi
bm	bm
ce	ce
ch	ch
co	co
cr	cr
cv	cv
dv	dv
dz	dz
ee	ee
ff	ff
gn	gn
gu	gu
ho	ho
ht	ht
hz	hz
ia	ia
ie	ie
ig	ig
ii	ii
ik	ik
iu	iu
kg	kg
ki	ki
kj	kj
kl	kl
kr	kr
ks	ks
kv	kv
lg	lg
li	li
ln	ln
lu	lu
mg	mg
mh	mh
mr	mr
ms	ms
na	na
nb	nb
nd	nd
ng	ng
nr	nr
nv	nv
ny	ny
oj	oj
om	om
or	or
pa	pa
pi	pi
qu	qu
rm	rm
rn	rn
rw	rw
sg	sg
ss	ss
st	st
su	su
te	te
tg	tg
th	th
ti	ti
tn	tn
to	to
tr	tr
ts	ts
tw	tw
ty	ty
ug	ug
ve	ve
wa	wa
wo	wo
xh	xh
yo	yo
za	za
uz	אוזבעקיש
hu	אונגעריש
uk	אוקראַאיניש
ur	אורדו
io	אידא
it	איטאַליעניש
id	אינדאנעזיש
is	איסלאַנדיש
ga	איריש
sq	אַלבאַניש
am	אַמהאַריש
as	אַסאַמיש
os	אסעטיש
aa	אַפֿאַר
af	אַפֿריקאַנס
oc	אקסיטאַניש
ar	אַראַביש
an	אַראַגאניש
hy	אַרמעניש
bs	באסניש
eu	באַסקיש
bg	בולגאַריש
my	בירמאַניש
be	בעלאַרוסיש
bn	בענגאַליש
br	ברעטאניש
gl	גאַלישיש
ka	גרוזיניש
el	גריכיש
de	דײַטש
da	דעניש
ha	האַוסאַ
nl	האלענדיש
hi	הינדי
he	העברעאיש
vo	וואלאַפּוק
vi	וויעטנאַמעזיש
cy	וועלשיש
zu	זולו
tl	טאַגאַלאג
tt	טאָטעריש
ta	טאַמיל
tk	טורקמעניש
bo	טיבעטיש
cs	טשעכיש
jv	יאַוואַנעזיש
ja	יאַפּאַניש
yi	ייִדיש
zh	כינעזיש
km	כמער
lo	לאַא
la	לאטייניש
lb	לוקסעמבורגיש
lt	ליטוויש
lv	לעטיש
mi	מאַאריש
ml	מאַלאַיאַלאַם
mt	מאַלטעזיש
mn	מאנגאליש
gv	מאַנקס
mk	מאַקעדאניש
fy	מערב־פֿריזיש
se	נארדסאַמיש
no	נארוועגיש
nn	נײַ־נארוועגיש
ne	נעפּאַליש
sm	סאַמאאַניש
so	סאמאַליש
sa	סאַנסקריט
sc	סאַרדיש
sw	סוואַהיליש
sd	סינדהי
si	סינהאַליש
sk	סלאוואַקיש
sl	סלאוועניש
sh	סערבא־קראאַטיש
sr	סערביש
gd	סקאטיש געליש
en	ענגליש
en-GB	ענגליש (GB)
en-US	ענגליש (US)
et	עסטיש
eo	עספּעראַנטא
fo	פֿאַראיש
pt	פּארטוגעזיש
ps	פּאַשטאָ
pl	פּויליש
fj	פֿידזשי
fi	פֿיניש
fa	פּערסיש
fr	פֿראַנצויזיש
kk	קאַזאַכיש
ca	קאַטאַלאניש
kn	קאַנאַדאַ
kw	קארניש
ko	קארעאיש
ku	קורדיש
ky	קירגיזיש
cu	קלויסטער־סלאַוויש
hr	קראאַטיש
ro	רומעניש
ru	רוסיש
sn	שאנאַ
sv	שוועדיש
es	שפּאַניש
