aa	aa
ab	ab
ae	ae
an	an
av	av
ay	ay
az	az
ba	ba
bi	bi
bm	bm
bo	bo
ce	ce
ch	ch
co	co
cr	cr
cu	cu
cv	cv
dv	dv
dz	dz
af	Èdè Afrikani
ak	Èdè Akani
sq	Èdè Albania
am	Èdè Amariki
so	Èdè ara Somalia
ar	Èdè Arabiki
sa	Èdè awon ara Indo
eu	Èdè Baski
be	Èdè Belarusi
bn	Èdè Bengali
bs	Èdè Bosnia
br	Èdè Bretoni
bg	Èdè Bugaria
my	Èdè Bumiisi
ca	Èdè Catala
nl	Èdè Duki
eo	Èdè Esperanto
et	Èdè Estonia
fr	Èdè Faransé
fo	Èdè Faroesi
fi	Èdè Finisi
fy	Èdè Frisia
gd	Èdè Gaelik ti Ilu Scotland
gl	Èdè Galicia
en	Èdè Gẹ̀ẹ́sì
en-GB	Èdè Gẹ̀ẹ́sì (GB)
en-US	Èdè Gẹ̀ẹ́sì (US)
ka	Èdè Georgia
el	Èdè Giriki
gn	Èdè Guarani
gu	Èdè Gujarati
ha	Èdè Hausa
he	Èdè Heberu
hi	Èdè Hindi
hu	Èdè Hungaria
ig	Èdè Ibo
is	Èdè Icelandic
hy	Èdè Ile Armenia
da	Èdè Ilẹ̀ Denmark
de	Èdè Ilẹ̀ Gemani
pl	Èdè Ilẹ̀ Polandi
id	Èdè Indonasia
ga	Èdè Ireland
it	Èdè Italiani
ja	Èdè Japanisi
jv	Èdè Javanasi
vi	Èdè Jetinamu
km	Èdè kameri
kn	Èdè Kannada
ko	Èdè Koria
hr	Èdè Kroatia
la	Èdè Latini
lv	Èdè Latvianu
lt	Èdè Lithuania
mk	Èdè Macedonia
ms	Èdè Malaya
mt	Èdè Malta
zh	Èdè Mandari
mr	Èdè marathi
ne	Èdè Nepali
no	Èdè Norway
oc	Èdè Occitani
fa	Èdè Pasia
ia	Èdè pipo
pt	Èdè Pọtugi
pa	Èdè Punjabi
ro	Èdè Romania
ru	Èdè ̣Rọọsia
rw	Èdè Ruwanda
cs	Èdè seeki
sr	Èdè Serbia
sh	Èdè Serbo-Croatiani
st	Èdè Sesoto
sd	Èdè Sindhi
si	Èdè Sinhalese
es	Èdè Sipanisi
sk	Èdè Slovaki
sl	Èdè Slovenia
su	Èdè Sudani
zu	Èdè Ṣulu
sv	Èdè Suwidiisi
sw	Èdè Swahili
th	Èdè Tai
ta	Èdè Tamili
te	Èdè Telugu
ti	Èdè Tigrinya
tr	Èdè Tọọkisi
tk	Èdè Turkmen
ur	Èdè Udu
uk	Èdè Ukania
uz	Èdè Uzbek
cy	Èdè Welshi
xh	Èdè Xhosa
yi	Èdè Yiddishi
yo	Èdè Yorùbá
ee	ee
ff	ff
fj	fj
gv	gv
ho	ho
ht	ht
hz	hz
ii	ii
ik	ik
io	io
ie	Iru Èdè
iu	iu
kg	kg
ki	ki
kj	kj
kk	kk
kl	kl
kr	kr
ks	ks
ku	ku
kv	kv
kw	kw
ky	ky
lb	lb
lg	lg
li	li
ln	ln
lo	lo
lu	lu
mg	mg
mh	mh
mi	mi
ml	ml
mn	mn
na	na
nb	nb
nd	nd
ng	ng
nn	nn
nr	nr
nv	nv
ny	ny
oj	oj
om	om
or	or
os	os
pi	pi
ps	ps
qu	qu
rm	rm
rn	rn
sc	sc
se	se
sg	sg
sm	sm
sn	sn
ss	ss
tg	tg
as	Ti Assam
tl	tl
tn	tn
to	to
ts	ts
tt	tt
tw	tw
ty	ty
ug	ug
ve	ve
vo	vo
wa	wa
wo	wo
za	za
