aa	aa
ae	ae
an	an
av	av
bi	bi
ch	ch
cr	cr
cu	cu
ff	ff
ho	ho
hz	hz
af	i-Afrikaans
en	i-English
en-US	i-English (US)
lo	i-Lao
nn	i-Norwegian Nynorsk
om	i-Oromo
gd	i-Scottish Gaelic
si	i-Sinhala
en-GB	i-UK English
ie	ie
ik	ik
io	io
ab	isi-Abkhazian
ak	isi-Akan
sq	isi-Albania
am	isi-Amharic
ar	isi-Arabic
hy	isi-Armenia
as	isi-Assamese
ay	isi-Aymara
az	isi-Azeria
bm	isi-Bambara
ba	isi-Bashkir
eu	isi-Basque
be	isi-Belarusian
bn	isi-Bengali
bs	isi-Bosnian
br	isi-Breton
bg	isi-Bulgari
my	isi-Burmese
ca	isi-Catalan
ce	isi-Chechen
zh	isi-Chinese
cv	isi-Chuvash
kw	isi-Cornish
co	isi-Corsican
hr	isi-Croatian
cs	isi-Czech
da	isi-Danish
dv	isi-Divehi
nl	isi-Dutch
dz	isi-Dzongkha
eo	isi-Esperanto
et	isi-Estonia
ee	isi-Ewe
fo	isi-Faroese
fj	isi-Fijian
fi	isi-Finnish
fr	isi-French
gl	isi-Galicia
lg	isi-Ganda
ka	isi-Georgian
de	isi-German
el	isi-Greek
gn	isi-Guarani
gu	isi-Gujarati
ht	isi-Haitian
ha	isi-Hausa
he	isi-Hebrew
hi	isi-Hindi
hu	isi-Hungarian
is	isi-Icelandic
ig	isi-Igbo
id	isi-Indonesian
iu	isi-Inuktitut
ga	isi-Irish
it	isi-Italian
ja	isi-Japanese
jv	isi-Javanese
kl	isi-Kalaallisut
kn	isi-Kannada
ks	isi-Kashmiri
kk	isi-Kazakh
km	isi-Khmer
ki	isi-Kikuyu
rw	isi-Kinyarwanda
kg	Isi-Kongo
ko	isi-Korean
ku	isi-Kurdish
ky	isi-Kyrgyz
la	isi-Latin
lv	isi-Latvian
ln	isi-Lingala
lt	isi-Lithuanian
lu	isi-Luba-Katanga
lb	isi-Luxembourgish
mk	isi-Macedonian
mg	isi-Malagasy
ms	isi-Malay
ml	isi-Malayalam
mt	isi-Maltese
gv	isi-Manx
mi	isi-Maori
mr	isi-Marathi
mn	isi-Mongolian
ne	isi-Nepali
nd	isi-North Ndebele
se	isi-Northern Sami
nb	isi-Norwegian Bokmål
ny	isi-Nyanja
or	isi-Oriya
oc	Isi-Osithani
os	isi-Ossetic
ps	isi-Pashto
fa	isi-Persian
pl	isi-Polish
pt	isi-Portuguese
pa	isi-Punjabi
qu	isi-Quechua
ro	isi-Romanian
rm	isi-Romansh
rn	isi-Rundi
ru	isi-Russian
sm	isi-Samoan
sg	isi-Sango
sa	isi-Sanskrit
sr	isi-Serbian
ii	isi-Sichuan Yi
sd	isi-Sindhi
sk	isi-Slovak
sl	isi-Slovenian
so	isi-Somali
es	isi-Spanish
su	isi-Sundanese
sv	isi-Swedish
ty	isi-Tahitian
tg	isi-Tajik
ta	isi-Tamil
tt	isi-Tatar
te	isi-Telugu
th	isi-Thai
bo	isi-Tibetan
ti	isi-Tigrinya
to	isi-Tongan
ts	isi-Tsonga
tn	isi-Tswana
tr	isi-Turkish
tk	isi-Turkmen
ug	isi-Uighur
uk	isi-Ukrainian
ur	isi-Urdu
uz	isi-Uzbek
ve	isi-Venda
vi	isi-Vietnamese
cy	isi-Welsh
fy	isi-Western Frisian
wo	isi-Wolof
yi	Isi-Yidish
yo	isi-Yoruba
sn	isiShona
st	isiSuthu
sw	isiSwahili
ss	isiSwati
xh	isiXhosa
zu	isiZulu
ia	Izilimi ezihlangene
kj	kj
kr	kr
kv	kv
li	li
mh	mh
na	na
ng	ng
no	no
nr	nr
nv	nv
oj	oj
pi	pi
sc	sc
sh	sh
tl	tl
tw	tw
vo	vo
wa	wa
za	za
