af		af	af	Afrikaans
agq		agq	agq	Aghem
ak		ak	ak	Akan
am		am	am	አማርኛ
ar		ar	ar	العربية
as		as	as	অসমীয়া
asa		asa	asa	Kipare
ast		ast	ast	asturianu
az		az	az	azəri
bas		bas	bas	Ɓàsàa
be		be	be	беларуская
bem		bem	bem	Ichibemba
bez		bez	bez	Hibena
bg		bg	bg	български
bm		bm	bm	bamanakan
bn		bn	bn	বাংলা
bo		bo	bo	བོད་སྐད་
br		br	br	brezhoneg
brx		brx	brx	बड़ो
bs		bs	bs	bosanski
ca		ca	ca	català
ce		ce	ce	нохчийн
cgg		cgg	cgg	Rukiga
chr		chr	chr	ᏣᎳᎩ
ckb		ckb	ckb	کوردیی ناوەندی
cs		cs	cs	čeština
cu		cu	cu	cu
cy		cy	cy	Cymraeg
da		da	da	dansk
dav		dav	dav	Kitaita
de		de	de	Deutsch
de-AT	AT	de-AT	de-AT	Österreichisches Deutsch
de-CH	CH	de-CH	de-CH	Schweizer Hochdeutsch
dje		dje	dje	Zarmaciine
dsb		dsb	dsb	dolnoserbšćina
dua		dua	dua	duálá
dyo		dyo	dyo	joola
dz		dz	dz	རྫོང་ཁ
ebu		ebu	ebu	Kĩembu
ee		ee	ee	Eʋegbe
el		el	el	Ελληνικά
en		en	en	English
en-AU	AU	en-AU	en-AU	Australian English
en-CA	CA	en-CA	en-CA	Canadian English
en-GB	GB	en-GB	en-GB	UK English
eo		eo	eo	esperanto
es		es	es	español
es-419	419	es-419	es-419	español latinoamericano
es-MX	MX	es-MX	es-MX	español de México
et		et	et	eesti
eu		eu	eu	euskara
ewo		ewo	ewo	ewondo
fa		fa	fa	فارسی
fa-AF	AF	fa-AF	fa-AF	دری
ff		ff	ff	Pulaar
fi		fi	fi	suomi
fil		fil	fil	Filipino
fo		fo	fo	føroyskt
fr		fr	fr	français
fr-CA	CA	fr-CA	fr-CA	français canadien
fr-CH	CH	fr-CH	fr-CH	français suisse
fur		fur	fur	furlan
fy		fy	fy	West-Frysk
ga		ga	ga	Gaeilge
gd		gd	gd	Gàidhlig
gl		gl	gl	galego
gsw		gsw	gsw	Schwiizertüütsch
gu		gu	gu	ગુજરાતી
guz		guz	guz	Ekegusii
gv		gv	gv	Gaelg
ha		ha	ha	Hausa
haw		haw	haw	ʻŌlelo Hawaiʻi
he		he	he	עברית
hi		hi	hi	हिन्दी
hr		hr	hr	hrvatski
hsb		hsb	hsb	hornjoserbšćina
hu		hu	hu	magyar
hy		hy	hy	հայերեն
id		id	id	Indonesia
ig		ig	ig	Igbo
ii		ii	ii	ꆈꌠꉙ
is		is	is	íslenska
it		it	it	italiano
ja		ja	ja	日本語
jgo		jgo	jgo	Ndaꞌa
jmc		jmc	jmc	Kimachame
ka		ka	ka	ქართული
kab		kab	kab	Taqbaylit
kam		kam	kam	Kikamba
kde		kde	kde	Chimakonde
kea		kea	kea	kabuverdianu
khq		khq	khq	Koyra ciini
ki		ki	ki	Gikuyu
kk		kk	kk	қазақ тілі
kkj		kkj	kkj	kakɔ
kl		kl	kl	kalaallisut
kln		kln	kln	Kalenjin
km		km	km	ខ្មែរ
kn		kn	kn	ಕನ್ನಡ
ko		ko	ko	한국어
